annotation_id	assembly_accession	species	lineage	busco_count	complete	single	duplicated	fragmented	missing	Well_annotated	Upstream	Downstream	Skipped	Out_of_frame
1488263f89bc5f48468f54e463435163	GCF_016801865.2	NA	eukaryota_odb12	129	93.8	90.7	3.1	0.8	5.4	2	0	0	0	0	
01ed001faceb617900f5d9f7ec77e9cc	GCF_000220395.1	NA	eukaryota_odb12	129	11.6	11.6	0.0	27.9	60.5	0	0	0	1	0	
07354fb6db043a3e3f9fca41e0900409	GCA_046629205.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	73	25	5	4	12	
10542f8b31090089e9f21aacc3e770ae	GCA_964200205.2	NA	eukaryota_odb12	129	7.8	7.8	0.0	7.8	84.5	0	0	4	0	0	
01ed7b2f6538dd5238a072ded4a02e86	GCA_963931875.1	Pollenia_griseotomentosa	eukaryota_odb12	129	95.3	95.3	0.0	3.1	1.6	0	0	1	1	0	
0b97271c40210abc898a4317b02e9be9	GCA_902806795.1	NA	eukaryota_odb12	129	55.0	52.7	2.3	10.9	34.1	0	0	0	1	0	
149420a9c19e709caf2c6cfd7acdfbbe	GCF_016881025.1	NA	eukaryota_odb12	129	91.5	89.9	1.6	7.0	1.6	21	0	0	0	2	
074c5f6b44ae77051d3326c649a9488c	GCA_013398435.1	NA	eukaryota_odb12	129	80.6	79.1	1.6	11.6	7.8	2	1	8	2	1	
10627425816160b9b867896604b99ce1	GCA_046629575.1	Homo_sapiens	eukaryota_odb12	129	96.1	94.6	1.6	3.1	0.8	74	25	5	4	12	
01fde953208afa3e13e1b9edd02be0dd	GCA_963082785.1	Philonthus_spinipes	eukaryota_odb12	129	89.1	87.6	1.6	7.8	3.1	0	0	1	0	0	
1076516a0b2e2569411367907eff4dd6	GCF_028021215.1	NA	eukaryota_odb12	129	100.0	96.9	3.1	0.0	0.0	29	3	0	0	0	
01fecf1b11745559df36fa1b66004def	GCA_002245815.2	NA	eukaryota_odb12	129	96.1	96.1	0.0	2.3	1.6	0	0	1	0	0	
0bb1b51e4c5814987454cc2bf2a8ea96	GCF_033783945.1	NA	eukaryota_odb12	129	96.9	95.3	1.6	0.8	2.3	21	1	0	0	0	
0207afe8626ee3d8f63940bab4215525	GCA_028751875.1	Rapana_venosa	eukaryota_odb12	129	72.9	70.5	2.3	17.8	9.3	0	2	19	6	3	
075305bb022b9fefaf36d802afd63d5d	GCF_036669905.1	NA	eukaryota_odb12	129	100.0	96.1	3.9	0.0	0.0	1	0	2	0	0	
0bb38b30249e98a9d3e5a9889b901153	GCA_013397235.1	NA	eukaryota_odb12	129	79.8	79.8	0.0	12.4	7.8	3	2	8	0	1	
1085c6e44f1e7563bbfb332132db4b2d	GCA_018471105.2	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	84	25	7	4	12	
0758d17b88f4251231d9d76f2e395d8a	GCA_037392515.2	Haliotis_asinina	eukaryota_odb12	129	95.3	92.2	3.1	3.9	0.8	0	2	22	9	2	
14a199424691661619d013d534445284	GCA_016858145.1	NA	eukaryota_odb12	129	90.7	90.7	0.0	7.0	2.3	0	0	3	2	0	
10868e1e14db2b278f27fe702ca3b6d5	GCA_000827275.1	NA	eukaryota_odb12	129	89.9	87.6	2.3	8.5	1.6	0	0	0	1	0	
05095a258f03dbc4b4978f1f84b92175	GCF_000524195.1	NA	eukaryota_odb12	129	86.0	86.0	0.0	7.8	6.2	0	0	1	0	2	
12e0e137baa4247bc44e509f81fbb77e	GCA_018469675.2	Homo_sapiens	eukaryota_odb12	129	96.9	96.1	0.8	3.1	0.0	84	25	7	4	12	
07680d84905995cef7ba1a7bfd0404be	GCA_036940085.2	NA	eukaryota_odb12	129	79.8	79.1	0.8	12.4	7.8	0	0	8	2	1	
0bc717c8cf6d823f090f8e79791eb5db	GCA_000687375.1	NA	eukaryota_odb12	129	69.8	69.8	0.0	14.0	16.3	0	5	6	0	0	
1087d9f8d9f284e1c877ae61f6de0160	GCA_013398935.1	NA	eukaryota_odb12	129	67.4	67.4	0.0	19.4	13.2	0	1	7	1	1	
10938d70523428b63ef55ed989d8505a	GCF_963678635.1	NA	eukaryota_odb12	129	89.1	86.8	2.3	3.1	7.8	2	0	3	1	0	
077c678bfb4341c72f063156a222f396	GCF_000696875.1	NA	eukaryota_odb12	129	79.1	79.1	0.0	19.4	1.6	7	0	1	0	2	
1096eb7daddcf9a094da6a005ad25d85	GCA_000002165.1	NA	eukaryota_odb12	129	93.0	89.1	3.9	3.9	3.1	0	6	9	1	6	
14b279588fa235a9709c6bf68c2cc473	GCA_018504645.2	Homo_sapiens	eukaryota_odb12	129	96.9	96.1	0.8	3.1	0.0	84	25	7	4	12	
07816db0c3226fb84335b5e88b2cb305	GCA_905332145.1	NA	eukaryota_odb12	129	91.5	82.2	9.3	6.2	2.3	0	0	10	3	1	
10973d5f2cab6486adedf4db2de54560	GCA_905182975.1	NA	eukaryota_odb12	129	2.3	0.0	2.3	9.3	88.4	0	0	1	0	0	
02445abe7b63cd19ae0a08a2951e9c20	GCA_905340295.1	Vespula_germanica	eukaryota_odb12	129	90.7	88.4	2.3	3.9	5.4	0	0	1	2	0	
0bda43d478f39df0d9f7797bb9ea42f1	GCF_001654025.1	NA	eukaryota_odb12	129	95.3	94.6	0.8	2.3	2.3	2	0	0	0	0	
0bdcb17206409451fab4c4f138d60cd9	GCF_029633865.1	NA	eukaryota_odb12	129	99.2	98.4	0.8	0.8	0.0	39	0	1	0	1	
10a8863617bd9bae472959e8896c8f62	GCA_040091305.1	NA	eukaryota_odb12	129	55.8	55.8	0.0	29.5	14.7	1	0	11	3	1	
14bb15cdad08976c3c0df08fb90a458e	GCA_013398015.1	NA	eukaryota_odb12	129	86.0	85.3	0.8	9.3	4.7	2	2	7	1	1	
0255325028087c9481ddf3db19a71fe9	GCF_937001465.1	NA	eukaryota_odb12	129	99.2	93.8	5.4	0.0	0.8	27	11	0	0	8	
02592dacded52586dde6e72590613bfa	GCA_042077325.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	84	25	7	4	12	
0be17e7d39791f528384a7429b96e324	GCA_036939355.2	NA	eukaryota_odb12	129	85.3	83.7	1.6	7.0	7.8	0	0	7	11	0	
14bde36efc5bd2c1e2a7b72bc61ca4af	GCF_003339765.1	NA	eukaryota_odb12	129	97.7	96.9	0.8	2.3	0.0	31	0	0	0	0	
14bfa6bb5b7ad567c5f0325c29bea2f1	GCA_013396615.1	NA	eukaryota_odb12	129	80.6	80.6	0.0	13.2	6.2	0	3	9	2	1	
0be31d08432bc1a9c6e4505e54665bd2	GCA_009026015.1	Ruditapes_philippinarum	eukaryota_odb12	129	88.4	86.8	1.6	9.3	2.3	0	1	23	10	0	
004166a92683b1cee4700d5f7c6c0ff8	GCA_042034215.1	Homo_sapiens	eukaryota_odb12	129	96.9	96.1	0.8	3.1	0.0	84	25	7	4	12	
050d10620013526b802c58f91f410fe2	GCA_018504065.2	Homo_sapiens	eukaryota_odb12	129	96.9	96.1	0.8	3.1	0.0	84	25	7	4	12	
0e710c454eadd2a4fda5c7e248d52795	GCA_013399395.1	NA	eukaryota_odb12	129	75.2	75.2	0.0	14.7	10.1	2	1	8	1	0	
026415871e94270f15fc6fbcd2a2763d	GCF_009870125.1	NA	eukaryota_odb12	129	98.4	97.7	0.8	0.8	0.8	3	0	0	0	0	
0be9381b5984318a340323a30bc941ed	GCA_000751175.1	NA	eukaryota_odb12	129	44.2	44.2	0.0	31.0	24.8	0	0	0	1	0	
14d36046631a31943f75984e2390ef42	GCA_952773225.1	Andrena_trimmerana	eukaryota_odb12	129	99.2	98.4	0.8	0.0	0.8	0	0	2	1	0	
07a961017a202a92196115a7180836ee	GCA_963681265.1	NA	eukaryota_odb12	129	93.8	93.0	0.8	3.9	2.3	0	0	1	1	1	
10c840c9b92db3c38de13e1f78d42120	GCA_041228495.2	Agriotes_mancus	eukaryota_odb12	129	94.6	85.3	9.3	3.9	1.6	0	0	1	0	0	
07b6dd310a7b5ad3621c96cc6c2e117c	GCA_944452905.1	Rhogogaster_chlorosoma	eukaryota_odb12	129	91.5	89.1	2.3	3.1	5.4	0	0	0	1	0	
07b91e641da21d95db30b7f8bcb3198f	GCF_019097595.1	NA	eukaryota_odb12	129	97.7	96.9	0.8	0.0	2.3	32	0	1	0	0	
10ce6e4e2c8223653c7854b5dbf56c11	GCA_009764595.1	Geothlypis_trichas	eukaryota_odb12	129	93.0	90.7	2.3	2.3	4.7	0	10	5	6	2	
0c099fd9d8fce328526340bdbaf889ac	GCF_000691245.1	NA	eukaryota_odb12	129	51.2	50.4	0.8	14.7	34.1	0	0	1	0	0	
14e88f5aa42823e6bdfe8fd09207e06a	GCA_963681605.1	NA	eukaryota_odb12	129	89.9	89.1	0.8	7.8	2.3	0	0	1	1	0	
0c0de34dce4348df0e909ff79282c224	GCA_013167095.2	NA	eukaryota_odb12	129	94.6	92.2	2.3	3.1	2.3	0	0	4	3	0	
10d4585b4b69516b83e808a84efbce3b	GCA_963930735.1	Dioctria_linearis	eukaryota_odb12	129	98.4	98.4	0.0	0.8	0.8	0	0	1	1	0	
14f18f0078763325d1c0a7810e1fe654	GCF_029603195.1	NA	eukaryota_odb12	129	99.2	97.7	1.6	0.8	0.0	2	0	0	0	0	
0e75af24be400d2535131c699ab76b08	GCF_030179895.1	NA	eukaryota_odb12	129	99.2	96.1	3.1	0.0	0.8	1	0	1	0	0	
028b31eeb68f58d3d7f242594fe26e58	GCA_947095535.1	Poecilobothrus_nobilitatus	eukaryota_odb12	129	95.3	95.3	0.0	3.1	1.6	0	0	2	1	0	
14f81faf0d9b9d6e84ae9d1f003f92b8	GCA_964276705.1	Phakellia_ventilabrum	eukaryota_odb12	129	93.8	93.0	0.8	2.3	3.9	0	1	7	8	2	
10d8338edd56bed8c46765ac9fd4056b	GCA_045523115.1	Homo_sapiens	eukaryota_odb12	129	96.9	96.9	0.0	3.1	0.0	84	25	7	4	12	
14fb86e013e742a17a9e3c9992350aec	GCA_042032525.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	84	25	7	4	12	
02a1038ab3c27b73d6f6ce2e796e9d2a	GCA_013841245.2	NA	eukaryota_odb12	129	88.4	87.6	0.8	3.9	7.8	0	0	1	0	0	
07e214ef3d240b6a7bfea77c4c95fdf4	GCA_964656845.1	Oculina_arbuscula	eukaryota_odb12	129	96.9	94.6	2.3	2.3	0.8	0	0	10	17	0	
0c2d55e09b20df1580eb8c4b1b39babf	GCA_965111775.1	Ctena_imbricatula	eukaryota_odb12	129	85.3	85.3	0.0	11.6	3.1	0	3	10	8	0	
10e662b2328a95b51bc6db2b8f985170	GCA_023972475.1	NA	eukaryota_odb12	129	97.7	96.1	1.6	1.6	0.8	0	1	5	7	1	
02a191bcc847dc33554f7cd5aaa38470	GCA_963693285.1	Xestospongia_muta	eukaryota_odb12	129	92.2	89.9	2.3	5.4	2.3	0	0	8	1	1	
10eb0f3ae4281da58216dd514d114fd2	GCA_000006295.1	NA	eukaryota_odb12	129	94.6	94.6	0.0	3.1	2.3	0	0	1	2	0	
14fdbf2f26030a26183476ee5922df7a	GCA_048772815.1	NA	eukaryota_odb12	129	99.2	96.9	2.3	0.8	0.0	21	5	0	0	0	
1508e8152ca88c721deb39623d277808	GCA_013398615.1	NA	eukaryota_odb12	129	81.4	79.8	1.6	10.9	7.8	2	1	8	2	1	
0c3bb03f2868ffbab9d882f3f1e76028	GCA_047372815.1	NA	eukaryota_odb12	129	96.9	93.8	3.1	2.3	0.8	0	0	1	1	0	
10f2e80902641e909f41334a894c1094	GCF_041296385.1	NA	eukaryota_odb12	129	98.4	98.4	0.0	1.6	0.0	26	2	0	2	0	
02b460d0f6f3d336e19050069e6b0f80	GCF_026979565.1	NA	eukaryota_odb12	129	98.4	97.7	0.8	0.8	0.8	25	1	0	0	1	
0c474c58308d114af25dc410522b745e	GCA_002892825.2	Ixodes_scapularis	eukaryota_odb12	129	56.6	55.8	0.8	29.5	14.0	0	2	8	0	0	
0e764af8b3fcb4f4bb995456ad25b199	GCA_046000145.1	Homo_sapiens	eukaryota_odb12	129	96.9	96.1	0.8	3.1	0.0	84	25	7	4	12	
02bcf5360461fefea1f7ac4172128171	GCA_043304645.1	Homo_sapiens	eukaryota_odb12	129	96.9	96.1	0.8	3.1	0.0	84	25	7	4	12	
07ff014d971e887ea5192762c3bc5ac9	GCA_039096935.1	NA	eukaryota_odb12	129	79.8	71.3	8.5	8.5	11.6	0	0	3	0	0	
0c4bd5abe1d95afc7c50e9fdcebab5ce	GCA_026026355.1	NA	eukaryota_odb12	129	93.0	93.0	0.0	5.4	1.6	0	0	0	0	1	
10f7b00641541b70d29685677946e7b7	GCA_010411085.1	Cervus_hanglu_yarkandensis	eukaryota_odb12	129	96.9	90.7	6.2	1.6	1.6	0	1	8	8	4	
151fd783f365dbf32837ef14137dd538	GCF_024516045.1	NA	eukaryota_odb12	129	100.0	99.2	0.8	0.0	0.0	1	0	0	0	0	
02d697e6c10db384568825dae966fea5	GCA_013397655.1	NA	eukaryota_odb12	129	80.6	80.6	0.0	14.0	5.4	0	2	9	2	1	
02d6ce5ce58f7c9fef2613d74ddd5ae8	GCA_040144335.1	NA	eukaryota_odb12	129	88.4	87.6	0.8	6.2	5.4	0	0	1	0	1	
08018fe44f8644aa56eb6acd369c3a00	GCA_000472085.2	Sus_scrofa	eukaryota_odb12	129	89.1	87.6	1.6	7.0	3.9	10	3	1	10	0	
153a3e12bc8114bcc7d8941cfac461b2	GCA_015731905.1	NA	eukaryota_odb12	129	97.7	81.4	16.3	0.8	1.6	0	1	0	0	0	
153b2c7b9fbb2a7113f9256d0b8f2c0e	GCA_044165565.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	91	33	7	4	12	
1115b5b7f7d72e574ec6ab56b19daad4	GCF_027574615.1	NA	eukaryota_odb12	129	99.2	93.0	6.2	0.8	0.0	21	9	0	1	1	
153df86b787964ede23425e45eb92f4a	GCA_042036435.1	Homo_sapiens	eukaryota_odb12	129	96.9	96.1	0.8	3.1	0.0	84	25	7	4	12	
155083d299c7f71b43ad8a97e4a340b9	GCF_965363235.1	NA	eukaryota_odb12	129	99.2	99.2	0.0	0.0	0.8	18	0	7	0	0	
1123ed5ddf103e2035d74b585c3674de	GCF_964656455.1	NA	eukaryota_odb12	129	100.0	96.9	3.1	0.0	0.0	24	6	0	0	1	
0c7fc494da8e79359f62c60e099dffbe	GCA_949715665.1	Chalcosyrphus_nemorum	eukaryota_odb12	129	95.3	91.5	3.9	2.3	2.3	0	0	2	0	0	
083306629b4a510f67c1f679e9cc84ac	GCA_016745375.1	NA	eukaryota_odb12	129	97.7	95.3	2.3	1.6	0.8	0	2	11	8	8	
1555368b86da2d2056c8d43d2fcff8b3	GCA_943736015.1	Tridacna_crocea	eukaryota_odb12	129	99.2	97.7	1.6	0.8	0.0	0	4	20	4	0	
0c84f4d45545a207098c6bf83b02fa55	GCA_000334495.1	NA	eukaryota_odb12	129	67.4	66.7	0.8	20.2	12.4	0	3	4	5	3	
083e71b8c6d05d8dc00c3a0fab04d79e	GCF_037975245.1	NA	eukaryota_odb12	129	100.0	98.4	1.6	0.0	0.0	13	0	6	0	0	
155dae087633b908104e0990c6c69020	GCF_032062135.1	NA	eukaryota_odb12	129	89.9	88.4	1.6	4.7	5.4	17	0	2	0	0	
0841f3a3e0d6e68a37632bd3bf9be1aa	GCA_914969975.1	Anopheles_atroparvus	eukaryota_odb12	129	93.8	89.9	3.9	0.8	5.4	0	0	1	0	0	
0c93f3ed85350f7340e3b10918cd984b	GCA_000260255.1	Octodon_degus	eukaryota_odb12	129	93.0	79.1	14.0	5.4	1.6	0	1	5	9	1	
1139939172af7a8f28d8b65b21d827ca	GCF_922984935.1	NA	eukaryota_odb12	129	100.0	95.3	4.7	0.0	0.0	21	3	0	0	1	
155ed7960a7aee313e565a93c6d94bfb	GCA_963681475.1	NA	eukaryota_odb12	129	94.6	93.8	0.8	3.1	2.3	0	0	1	1	1	
084c91a498e5854eecbd20aacfee49d9	GCA_963556215.1	Bombus_vestalis	eukaryota_odb12	129	96.1	94.6	1.6	2.3	1.6	0	0	1	1	0	
084d0e87686a479136644e3489e1cce0	GCA_964340495.1	Hemorrhois_hippocrepis	eukaryota_odb12	129	97.7	96.9	0.8	0.8	1.6	0	7	7	4	0	
0c9ea695f037da2edccd47dd181a21b9	GCF_029499605.1	NA	eukaryota_odb12	129	90.7	89.9	0.8	6.2	3.1	21	0	1	0	0	
156027abe448d04b073ef813b64b855a	GCA_017918235.1	NA	eukaryota_odb12	129	55.8	55.0	0.8	13.2	31.0	0	0	1	0	0	
12f6ab7d076e750fb670d382af81d14e	GCF_902827165.1	NA	eukaryota_odb12	129	93.0	90.7	2.3	3.9	3.1	42	0	0	0	0	
0306f88653132a4b6998b50c8afa68ee	GCA_013398835.1	NA	eukaryota_odb12	129	85.3	84.5	0.8	9.3	5.4	1	3	8	2	0	
114260b591bd9b72d434174c8c64c674	GCF_000708225.1	NA	eukaryota_odb12	129	93.0	92.2	0.8	6.2	0.8	13	0	1	0	0	
1561f18f9158783c37d4c34483737da5	GCF_004126475.2	NA	eukaryota_odb12	129	100.0	98.4	1.6	0.0	0.0	25	3	0	0	4	
030bb4fc383d30aa6004c79c9ad96d77	GCA_000143925.2	Caenorhabditis_brenneri	eukaryota_odb12	129	92.2	59.7	32.6	7.0	0.8	1	0	0	0	0	
1564962aad7e005dc53d46269ed78f87	GCA_964659555.1	Felimare_picta	eukaryota_odb12	129	77.5	77.5	0.0	13.2	9.3	0	4	3	4	0	
0ca81be08950f9af3480d4f461d0750e	GCA_001889945.1	NA	eukaryota_odb12	129	98.4	98.4	0.0	1.6	0.0	0	0	0	0	1	
156af3f9bbbb69c09a5a3d098d7d5f68	GCF_014108245.1	NA	eukaryota_odb12	129	100.0	93.0	7.0	0.0	0.0	22	0	0	2	5	
031da8868621d77d05922bcfd66a16bd	GCF_024362965.1	NA	eukaryota_odb12	129	98.4	95.3	3.1	0.8	0.8	27	2	0	1	3	
0ca99b71517de8f32bff3c139b400b02	GCF_016432865.1	NA	eukaryota_odb12	129	98.4	90.7	7.8	0.0	1.6	23	1	1	0	1	
114f866aac483d7d9cf36f754b265144	GCF_027943255.1	NA	eukaryota_odb12	129	98.4	97.7	0.8	0.8	0.8	2	0	0	0	0	
085494423342350ea43c55fa069cf5d6	GCA_029692045.1	NA	eukaryota_odb12	129	93.8	89.9	3.9	1.6	4.7	0	0	10	9	5	
1152eaa0641f56dcee0ef9be06993f6c	GCA_000699445.3	NA	eukaryota_odb12	129	82.9	82.9	0.0	7.0	10.1	0	1	2	1	0	
0cb1cff8c3ff4495603e3087436848a1	GCA_916610125.1	Cheilosia_vulpina	eukaryota_odb12	129	97.7	96.1	1.6	1.6	0.8	0	0	2	0	0	
11538b8a2ac28aecdb5b5f6c44f458bb	GCA_021869965.1	Rhincodon_typus	eukaryota_odb12	129	79.1	79.1	0.0	19.4	1.6	0	2	11	17	1	
085a2a578234ae9814f51c35e81d047e	GCA_963969385.1	Philonicus_albiceps	eukaryota_odb12	129	99.2	98.4	0.8	0.0	0.8	0	0	1	1	0	
0cb3e9146e342c5706acc797398ea56d	GCF_001313835.1	NA	eukaryota_odb12	129	98.4	97.7	0.8	1.6	0.0	1	0	0	0	0	
11549319a15b9348c063bcb90acc3a06	GCA_963681405.1	NA	eukaryota_odb12	129	93.8	93.0	0.8	3.1	3.1	0	0	1	1	1	
15781285756cd64965c54062aa0719eb	GCA_042027095.1	Homo_sapiens	eukaryota_odb12	129	96.9	96.1	0.8	3.1	0.0	84	25	7	4	12	
0cb912231b4e7a058fa51c8507487153	GCA_035610365.1	NA	eukaryota_odb12	129	95.3	94.6	0.8	1.6	3.1	0	0	1	0	0	
157df386c494c4f94f03609af10dd2f0	GCA_963082835.1	Leptogaster_cylindrica	eukaryota_odb12	129	100.0	100.0	0.0	0.0	0.0	0	0	0	2	0	
03417784aeceddf02cae674bcaf1e5ac	GCA_013396595.1	NA	eukaryota_odb12	129	81.4	81.4	0.0	14.7	3.9	0	2	8	2	1	
0cc042c7c25ad9f09ae932fd4ed22f06	GCF_001889945.1	NA	eukaryota_odb12	129	98.4	98.4	0.0	1.6	0.0	0	0	0	0	1	
116472476573ab8fae88abc6c341efa0	GCF_020826845.1	NA	eukaryota_odb12	129	99.2	96.9	2.3	0.8	0.0	22	0	0	0	6	
